card_id,account_id,customer_id,role,network,bin,pan_masked,last4,expiry,status,issued_at,closed_at,replaced_card_id
CRD-000055,ACC-DDA-00008,CUS-00049,primary,VISA,400034,400034******2051,2051,05/29,active,2010-06-03,,
CRD-000056,ACC-CR-00043,CUS-00050,primary,VISA,400012,400012******8760,8760,09/28,active,2024-09-03,,
CRD-000057,ACC-CR-00044,CUS-00051,primary,VISA,400012,400012******5225,5225,11/28,active,2023-02-17,,
CRD-000058,ACC-CR-00044,CUS-00052,authorized_user,VISA,400012,400012******8021,8021,11/29,active,2025-07-18,,
CRD-000059,ACC-CR-00045,CUS-00053,primary,VISA,400012,400012******3502,3502,11/29,active,2011-04-26,,
CRD-000060,ACC-CR-00046,CUS-00054,primary,VISA,400012,400012******9505,9505,12/28,active,2013-08-01,,
CRD-000061,ACC-CR-00047,CUS-00055,primary,VISA,400012,400012******8053,8053,10/29,active,2023-11-13,,
CRD-000062,ACC-CR-00048,CUS-00056,primary,VISA,400012,400012******7219,7219,08/30,active,2020-09-17,,
CRD-000063,ACC-CR-00049,CUS-00057,primary,VISA,400012,400012******6910,6910,01/30,active,2020-12-02,,
CRD-000064,ACC-CR-00050,CUS-00058,primary,VISA,400012,400012******5311,5311,10/30,active,2025-12-24,,
CRD-000065,ACC-CR-00051,CUS-00059,primary,VISA,400012,400012******1885,1885,11/28,active,2021-09-15,,
CRD-000066,ACC-CR-00052,CUS-00060,primary,VISA,400012,400012******6745,6745,04/29,active,2012-08-22,,
CRD-000067,ACC-CR-00053,CUS-00061,primary,VISA,400012,400012******1674,1674,03/29,active,2014-07-07,,
CRD-000068,ACC-CR-00054,CUS-00062,primary,VISA,400012,400012******5842,5842,06/27,active,2013-04-18,,
CRD-000069,ACC-CR-00055,CUS-00063,primary,VISA,400012,400012******3556,3556,05/27,active,2023-06-18,,
CRD-000070,ACC-CR-00056,CUS-00064,primary,VISA,400012,400012******3639,3639,09/30,active,2023-02-04,,
CRD-000071,ACC-CR-00057,CUS-00065,primary,VISA,400012,400012******8517,8517,07/30,active,2011-02-26,,
CRD-000072,ACC-CR-00058,CUS-00066,primary,VISA,400012,400012******2441,2441,12/30,active,2021-12-22,,
CRD-000073,ACC-CR-00059,CUS-00067,primary,VISA,400012,400012******5959,5959,01/29,active,2021-10-19,,
CRD-000074,ACC-DDA-00009,CUS-00067,primary,VISA,400034,400034******0157,0157,07/27,active,2021-10-19,,
CRD-000075,ACC-CR-00059,CUS-00068,authorized_user,VISA,400012,400012******5013,5013,06/28,active,2023-07-04,,
CRD-000076,ACC-CR-00060,CUS-00069,primary,VISA,400012,400012******3319,3319,02/28,active,2016-01-25,,
CRD-000077,ACC-CR-00061,CUS-00070,primary,VISA,400012,400012******1726,1726,10/28,active,2025-07-04,,
CRD-000078,ACC-CR-00062,CUS-00071,primary,VISA,400012,400012******7936,7936,08/27,active,2018-11-13,,
CRD-000079,ACC-CR-00063,CUS-00072,primary,VISA,400012,400012******3864,3864,01/27,active,2018-08-19,,
CRD-000080,ACC-CR-00064,CUS-00073,primary,VISA,400012,400012******6349,6349,09/27,active,2025-07-11,,
CRD-000081,ACC-DDA-00010,CUS-00074,primary,VISA,400034,400034******0806,0806,10/28,active,2017-11-01,,
CRD-000082,ACC-CR-00065,CUS-00075,primary,VISA,400012,400012******6814,6814,09/29,active,2025-07-16,,
CRD-000083,ACC-CR-00065,CUS-00076,authorized_user,VISA,400012,400012******8775,8775,06/30,active,2025-07-16,,
CRD-000084,ACC-CR-00066,CUS-00077,primary,VISA,400012,400012******4457,4457,02/28,active,2019-04-22,,
CRD-000085,ACC-DDA-00011,CUS-00077,primary,VISA,400034,400034******9109,9109,02/28,active,2019-04-22,,
CRD-000086,ACC-CR-00067,CUS-00078,primary,VISA,400012,400012******2072,2072,02/27,active,2026-06-23,,
CRD-000087,ACC-CR-00068,CUS-00079,primary,VISA,400012,400012******9452,9452,06/30,active,2026-03-22,,
CRD-000088,ACC-DDA-00012,CUS-00079,primary,VISA,400034,400034******6423,6423,09/27,active,2026-03-22,,
CRD-000089,ACC-CR-00069,CUS-00080,primary,VISA,400012,400012******7478,7478,08/30,active,2013-03-22,,
CRD-000090,ACC-CR-00070,CUS-00081,primary,VISA,400012,400012******4386,4386,08/30,active,2019-07-04,,
CRD-000091,ACC-CR-00070,CUS-00082,authorized_user,VISA,400012,400012******9322,9322,01/29,active,2021-09-08,,
CRD-000092,ACC-CR-00071,CUS-00083,primary,VISA,400012,400012******8713,8713,12/30,active,2024-01-15,,
CRD-000093,ACC-DDA-00013,CUS-00083,primary,VISA,400034,400034******1409,1409,12/29,active,2024-01-15,,
CRD-000094,ACC-CR-00072,CUS-00084,primary,VISA,400012,400012******7774,7774,03/27,active,2020-02-24,,
CRD-000095,ACC-CR-00073,CUS-00085,primary,VISA,400012,400012******9357,9357,05/27,active,2016-06-18,,
CRD-000096,ACC-CR-00074,CUS-00086,primary,VISA,400012,400012******5685,5685,06/27,active,2021-01-18,,
CRD-000097,ACC-CR-00075,CUS-00087,primary,VISA,400012,400012******7611,7611,05/27,active,2025-12-22,,
CRD-000098,ACC-CR-00076,CUS-00088,primary,VISA,400012,400012******5254,5254,01/27,active,2011-12-05,,
CRD-000099,ACC-CR-00077,CUS-00089,primary,VISA,400012,400012******5633,5633,03/29,active,2024-02-08,,
CRD-000100,ACC-DDA-00014,CUS-00089,primary,VISA,400034,400034******1948,1948,08/29,active,2024-02-08,,
CRD-000101,ACC-CR-00078,CUS-00090,primary,VISA,400012,400012******6709,6709,08/28,active,2015-07-17,,
CRD-000102,ACC-CR-00079,CUS-00091,primary,VISA,400012,400012******4218,4218,11/29,active,2024-06-08,,
CRD-000103,ACC-CR-00080,CUS-00092,primary,VISA,400012,400012******8797,8797,07/27,active,2014-02-14,,
CRD-000104,ACC-CR-00081,CUS-00093,primary,VISA,400012,400012******6180,6180,04/28,active,2024-02-23,,
CRD-000105,ACC-DDA-00015,CUS-00093,primary,VISA,400034,400034******4506,4506,11/30,active,2024-02-23,,
CRD-000106,ACC-CR-00082,CUS-00094,primary,VISA,400012,400012******4249,4249,10/28,active,2008-04-16,,
CRD-000107,ACC-CR-00083,CUS-00095,primary,VISA,400012,400012******6933,6933,05/30,active,2016-07-19,,
CRD-000108,ACC-CR-00084,CUS-00096,primary,VISA,400012,400012******2954,2954,07/29,active,2013-04-08,,
CRD-000109,ACC-CR-00085,CUS-00097,primary,VISA,400012,400012******0150,0150,05/27,active,2024-07-11,,
CRD-000110,ACC-CR-00086,CUS-00098,primary,VISA,400012,400012******7061,7061,12/30,active,2018-11-04,,
CRD-000111,ACC-CR-00087,CUS-00099,primary,VISA,400012,400012******5698,5698,08/30,active,2012-09-12,,
CRD-000112,ACC-CR-00088,CUS-00100,primary,VISA,400012,400012******1327,1327,06/27,active,2017-09-07,,
CRD-000113,ACC-DDA-00016,CUS-00100,primary,VISA,400034,400034******4140,4140,08/27,active,2017-09-07,,
CRD-000114,ACC-CR-00089,CUS-00101,primary,VISA,400012,400012******9951,9951,02/30,active,2011-09-07,,
CRD-000115,ACC-CR-00090,CUS-00102,primary,VISA,400012,400012******4077,4077,02/28,active,2022-11-22,,
CRD-000116,ACC-CR-00091,CUS-00103,primary,VISA,400012,400012******6806,6806,04/30,active,2023-02-07,,
CRD-000117,ACC-CR-00092,CUS-00104,primary,VISA,400012,400012******9123,9123,04/27,active,2017-02-23,,
CRD-000118,ACC-CR-00093,CUS-00105,primary,VISA,400012,400012******8959,8959,10/28,active,2009-11-19,,
CRD-000119,ACC-CR-00094,CUS-00106,primary,VISA,400012,400012******4157,4157,10/30,active,2026-06-07,,
CRD-000120,ACC-CR-00095,CUS-00107,primary,VISA,400012,400012******3456,3456,03/28,active,2021-02-17,,
CRD-000121,ACC-DDA-00017,CUS-00107,primary,VISA,400034,400034******4023,4023,01/28,active,2021-02-17,,
CRD-000122,ACC-CR-00095,CUS-00108,authorized_user,VISA,400012,400012******2524,2524,01/30,active,2023-05-07,,
CRD-000123,ACC-CR-00096,CUS-00109,primary,VISA,400012,400012******0110,0110,05/28,active,2025-09-14,,
CRD-000124,ACC-CR-00097,CUS-00110,primary,VISA,400012,400012******8200,8200,10/30,active,2022-01-28,,
CRD-000125,ACC-DDA-00018,CUS-00110,primary,VISA,400034,400034******5280,5280,08/27,active,2022-01-28,,
CRD-000126,ACC-CR-00098,CUS-00111,primary,VISA,400012,400012******1462,1462,05/29,active,2018-01-11,,
CRD-000127,ACC-CR-00099,CUS-00112,primary,VISA,400012,400012******4761,4761,06/28,active,2013-08-18,,
CRD-000128,ACC-CR-00100,CUS-00113,primary,VISA,400012,400012******3629,3629,05/28,active,2023-02-03,,
CRD-000129,ACC-DDA-00019,CUS-00113,primary,VISA,400034,400034******2150,2150,06/30,active,2023-02-03,,
CRD-000130,ACC-CR-00101,CUS-00114,primary,VISA,400012,400012******8170,8170,07/29,active,2022-11-12,,
CRD-000131,ACC-CR-00102,CUS-00115,primary,VISA,400012,400012******3480,3480,11/28,active,2015-11-23,,
CRD-000132,ACC-CR-00103,CUS-00116,primary,VISA,400012,400012******6789,6789,02/29,active,2026-06-26,,
CRD-000133,ACC-CR-00104,CUS-00117,primary,VISA,400012,400012******5019,5019,08/28,active,2020-08-27,,
CRD-000134,ACC-CR-00105,CUS-00118,primary,VISA,400012,400012******1075,1075,08/29,active,2024-03-07,,
CRD-000135,ACC-CR-00106,CUS-00119,primary,VISA,400012,400012******4653,4653,08/29,active,2025-04-19,,
CRD-000136,ACC-DDA-00020,CUS-00119,primary,VISA,400034,400034******5205,5205,10/28,active,2025-04-19,,
CRD-000137,ACC-CR-00107,CUS-00120,primary,VISA,400012,400012******6128,6128,12/29,active,2009-05-08,,
CRD-000138,ACC-CR-00108,CUS-00121,primary,VISA,400012,400012******1916,1916,06/28,active,2010-03-02,,
CRD-000139,ACC-CR-00109,CUS-00122,primary,VISA,400012,400012******6100,6100,07/30,active,2009-11-16,,
CRD-000140,ACC-CR-00110,CUS-00123,primary,VISA,400012,400012******0978,0978,03/30,active,2010-02-26,,
CRD-000141,ACC-DDA-00021,CUS-00123,primary,VISA,400034,400034******0798,0798,01/27,active,2010-02-26,,
CRD-000142,ACC-CR-00111,CUS-00124,primary,VISA,400012,400012******4330,4330,11/28,active,2016-05-25,,
CRD-000143,ACC-CR-00112,CUS-00125,primary,VISA,400012,400012******2878,2878,06/27,active,2008-08-10,,
CRD-000144,ACC-CR-00112,CUS-00126,authorized_user,VISA,400012,400012******4616,4616,09/29,active,2010-06-01,,
CRD-000145,ACC-CR-00113,CUS-00127,primary,VISA,400012,400012******9354,9354,11/27,active,2023-10-16,,
CRD-000146,ACC-CR-00114,CUS-00128,primary,VISA,400012,400012******1014,1014,11/30,active,2019-11-11,,
CRD-000147,ACC-DDA-00022,CUS-00129,primary,VISA,400034,400034******7907,7907,04/27,active,2020-11-21,,
CRD-000148,ACC-CR-00115,CUS-00130,primary,VISA,400012,400012******1358,1358,04/30,active,2014-07-23,,
CRD-000149,ACC-DDA-00023,CUS-00130,primary,VISA,400034,400034******0895,0895,08/30,active,2014-07-23,,
CRD-000150,ACC-CR-00116,CUS-00131,primary,VISA,400012,400012******9959,9959,01/29,active,2018-05-08,,
CRD-000151,ACC-CR-00117,CUS-00132,primary,VISA,400012,400012******1096,1096,09/30,active,2019-01-12,,
CRD-000152,ACC-DDA-00024,CUS-00133,primary,VISA,400034,400034******1540,1540,02/28,active,2012-04-07,,
CRD-000153,ACC-DDA-00025,CUS-00134,primary,VISA,400034,400034******6128,6128,01/27,active,2025-04-24,,
CRD-000154,ACC-CR-00118,CUS-00135,primary,VISA,400012,400012******1920,1920,08/30,active,2019-08-16,,
CRD-000155,ACC-CR-00119,CUS-00136,primary,VISA,400012,400012******0338,0338,11/27,active,2009-04-27,,
CRD-000156,ACC-CR-00119,CUS-00137,authorized_user,VISA,400012,400012******1887,1887,10/29,active,2011-06-23,,
CRD-000157,ACC-CR-00120,CUS-00138,primary,VISA,400012,400012******8034,8034,09/27,active,2022-10-08,,
CRD-000158,ACC-CR-00121,CUS-00139,primary,VISA,400012,400012******6853,6853,07/30,active,2016-07-15,,
CRD-000159,ACC-DDA-00026,CUS-00139,primary,VISA,400034,400034******1875,1875,09/28,active,2016-07-15,,
CRD-000160,ACC-DDA-00027,CUS-00140,primary,VISA,400034,400034******9145,9145,09/27,active,2016-09-04,,
CRD-000161,ACC-CR-00122,CUS-00141,primary,VISA,400012,400012******8561,8561,07/30,active,2021-05-03,,
CRD-000162,ACC-CR-00122,CUS-00142,authorized_user,VISA,400012,400012******4379,4379,04/28,active,2022-09-07,,
CRD-000163,ACC-CR-00123,CUS-00143,primary,VISA,400012,400012******2725,2725,08/28,active,2022-01-04,,
CRD-000164,ACC-CR-00124,CUS-00144,primary,VISA,400012,400012******0993,0993,05/30,active,2014-09-19,,
CRD-000165,ACC-CR-00125,CUS-00145,primary,VISA,400012,400012******1599,1599,09/29,active,2019-12-07,,
CRD-000166,ACC-CR-00126,CUS-00146,primary,VISA,400012,400012******4475,4475,10/27,active,2016-01-01,,
CRD-000167,ACC-CR-00127,CUS-00147,primary,VISA,400012,400012******0600,0600,11/28,active,2022-11-02,,
CRD-000168,ACC-CR-00128,CUS-00148,primary,VISA,400012,400012******3346,3346,05/28,active,2014-10-12,,
CRD-000169,ACC-CR-00128,CUS-00149,authorized_user,VISA,400012,400012******1556,1556,06/29,active,2016-10-31,,
CRD-000170,ACC-CR-00129,CUS-00150,primary,VISA,400012,400012******5434,5434,10/29,active,2022-03-07,,
CRD-000171,ACC-CR-00130,CUS-00151,primary,VISA,400012,400012******7225,7225,03/30,active,2018-02-18,,
CRD-000172,ACC-CR-00131,CUS-00152,primary,VISA,400012,400012******7377,7377,04/28,active,2024-07-01,,
CRD-000173,ACC-DDA-00028,CUS-00153,primary,VISA,400034,400034******9261,9261,05/30,active,2025-08-14,,
CRD-000174,ACC-CR-00132,CUS-00154,primary,VISA,400012,400012******5755,5755,04/30,active,2021-06-18,,
CRD-000175,ACC-CR-00133,CUS-00155,primary,VISA,400012,400012******6996,6996,01/28,active,2008-04-28,,
CRD-000176,ACC-CR-00134,CUS-00156,primary,VISA,400012,400012******8430,8430,07/27,active,2024-01-09,,
CRD-000177,ACC-DDA-00029,CUS-00156,primary,VISA,400034,400034******9269,9269,04/27,active,2024-01-09,,
CRD-000178,ACC-CR-00134,CUS-00157,authorized_user,VISA,400012,400012******6123,6123,07/27,active,2025-07-25,,
CRD-000179,ACC-CR-00135,CUS-00158,primary,VISA,400012,400012******5690,5690,05/30,active,2022-08-22,,
CRD-000180,ACC-CR-00136,CUS-00159,primary,VISA,400012,400012******6556,6556,11/27,active,2022-01-08,,
CRD-000181,ACC-CR-00137,CUS-00160,primary,VISA,400012,400012******5793,5793,09/27,active,2017-03-09,,
CRD-000182,ACC-DDA-00030,CUS-00161,primary,VISA,400034,400034******3647,3647,10/30,active,2021-04-15,,
CRD-000183,ACC-CR-00138,CUS-00162,primary,VISA,400012,400012******5274,5274,06/27,active,2012-09-11,,
CRD-000184,ACC-CR-00139,CUS-00163,primary,VISA,400012,400012******4894,4894,07/27,active,2025-01-07,,
CRD-000185,ACC-CR-00140,CUS-00164,primary,VISA,400012,400012******3870,3870,10/28,active,2024-02-12,,
CRD-000186,ACC-CR-00141,CUS-00165,primary,VISA,400012,400012******1376,1376,07/28,active,2011-03-03,,
CRD-000187,ACC-CR-00142,CUS-00166,primary,VISA,400012,400012******1401,1401,11/27,active,2015-12-24,,
CRD-000188,ACC-CR-00143,CUS-00167,primary,VISA,400012,400012******3904,3904,10/27,active,2015-01-08,,
CRD-000189,ACC-CR-00144,CUS-00168,primary,VISA,400012,400012******4799,4799,06/30,active,2021-06-07,,
CRD-000190,ACC-CR-00145,CUS-00169,primary,VISA,400012,400012******7412,7412,03/29,active,2019-02-14,,
CRD-000191,ACC-CR-00146,CUS-00170,primary,VISA,400012,400012******5012,5012,08/29,active,2010-10-18,,
CRD-000192,ACC-CR-00147,CUS-00171,primary,VISA,400012,400012******8684,8684,05/28,active,2021-04-16,,
CRD-000193,ACC-CR-00148,CUS-00172,primary,VISA,400012,400012******1660,1660,09/28,active,2022-12-21,,
CRD-000194,ACC-CR-00149,CUS-00173,primary,VISA,400012,400012******6699,6699,06/30,active,2025-03-13,,
CRD-000195,ACC-CR-00150,CUS-00174,primary,VISA,400012,400012******2350,2350,11/30,active,2015-03-05,,
CRD-000196,ACC-DDA-00031,CUS-00174,primary,VISA,400034,400034******8327,8327,10/27,active,2015-03-05,,
CRD-000197,ACC-CR-00151,CUS-00175,primary,VISA,400012,400012******3353,3353,12/29,active,2012-03-26,,
CRD-000198,ACC-CR-00152,CUS-00176,primary,VISA,400012,400012******0224,0224,10/29,active,2008-03-07,,
CRD-000199,ACC-CR-00153,CUS-00177,primary,VISA,400012,400012******0779,0779,09/28,active,2016-06-10,,
CRD-000200,ACC-CR-00153,CUS-00178,authorized_user,VISA,400012,400012******1128,1128,09/29,active,2016-07-17,,
CRD-000201,ACC-DDA-00032,CUS-00179,primary,VISA,400034,400034******7708,7708,12/30,active,2010-04-04,,
CRD-000202,ACC-CR-00154,CUS-00180,primary,VISA,400012,400012******7741,7741,10/29,active,2021-06-04,,
CRD-000203,ACC-DDA-00033,CUS-00180,primary,VISA,400034,400034******4328,4328,03/27,active,2021-06-04,,
CRD-000204,ACC-CR-00155,CUS-00181,primary,VISA,400012,400012******9222,9222,09/30,active,2020-11-19,,
CRD-000205,ACC-DDA-00034,CUS-00181,primary,VISA,400034,400034******6713,6713,12/27,active,2020-11-19,,
CRD-000206,ACC-CR-00156,CUS-00182,primary,VISA,400012,400012******4934,4934,12/30,active,2015-01-05,,
CRD-000207,ACC-CR-00157,CUS-00183,primary,VISA,400012,400012******0703,0703,10/29,active,2010-01-24,,
CRD-000208,ACC-CR-00158,CUS-00184,primary,VISA,400012,400012******0782,0782,09/27,active,2019-01-19,,
CRD-000209,ACC-CR-00159,CUS-00185,primary,VISA,400012,400012******2025,2025,05/30,active,2018-10-25,,
CRD-000210,ACC-CR-00160,CUS-00186,primary,VISA,400012,400012******5873,5873,06/28,active,2017-02-17,,
CRD-000211,ACC-DDA-00035,CUS-00186,primary,VISA,400034,400034******8968,8968,04/27,active,2017-02-17,,
CRD-000212,ACC-CR-00161,CUS-00187,primary,VISA,400012,400012******2256,2256,10/30,active,2009-11-23,,
CRD-000213,ACC-CR-00162,CUS-00188,primary,VISA,400012,400012******7329,7329,09/27,active,2016-11-03,,
CRD-000214,ACC-CR-00163,CUS-00189,primary,VISA,400012,400012******9326,9326,02/30,active,2011-05-06,,
CRD-000215,ACC-CR-00164,CUS-00190,primary,VISA,400012,400012******9237,9237,06/29,active,2018-09-23,,
CRD-000216,ACC-CR-00165,CUS-00191,primary,VISA,400012,400012******4528,4528,05/29,active,2023-04-18,,
CRD-000217,ACC-DDA-00036,CUS-00191,primary,VISA,400034,400034******6272,6272,03/29,active,2023-04-18,,
CRD-000218,ACC-CR-00166,CUS-00192,primary,VISA,400012,400012******8046,8046,07/29,active,2010-04-08,,
CRD-000219,ACC-CR-00167,CUS-00193,primary,VISA,400012,400012******5089,5089,03/27,active,2021-08-10,,
CRD-000220,ACC-CR-00167,CUS-00194,authorized_user,VISA,400012,400012******8375,8375,09/29,active,2022-10-11,,
CRD-000221,ACC-CR-00168,CUS-00195,primary,VISA,400012,400012******8307,8307,08/27,active,2017-07-13,,
CRD-000222,ACC-DDA-00037,CUS-00195,primary,VISA,400034,400034******8245,8245,02/28,active,2017-07-13,,
CRD-000223,ACC-CR-00169,CUS-00196,primary,VISA,400012,400012******8100,8100,09/29,active,2011-05-21,,
CRD-000224,ACC-CR-00169,CUS-00197,authorized_user,VISA,400012,400012******2110,2110,02/30,active,2011-08-17,,
CRD-000225,ACC-CR-00170,CUS-00198,primary,VISA,400012,400012******1158,1158,08/29,active,2008-10-01,,
CRD-000226,ACC-CR-00171,CUS-00199,primary,VISA,400012,400012******7823,7823,06/30,active,2009-05-02,,
CRD-000227,ACC-DDA-00038,CUS-00199,primary,VISA,400034,400034******0563,0563,11/30,active,2009-05-02,,
CRD-000228,ACC-CR-00171,CUS-00200,authorized_user,VISA,400012,400012******8444,8444,10/29,active,2011-05-29,,
CRD-000229,ACC-CR-00172,CUS-00201,primary,VISA,400012,400012******3922,3922,06/29,active,2016-04-17,,
CRD-000230,ACC-CR-00173,CUS-00202,primary,VISA,400012,400012******4328,4328,03/30,active,2022-10-15,,
CRD-000231,ACC-CR-00174,CUS-00203,primary,VISA,400012,400012******6534,6534,09/29,active,2023-03-21,,
CRD-000232,ACC-DDA-00039,CUS-00203,primary,VISA,400034,400034******7175,7175,10/29,active,2023-03-21,,
CRD-000233,ACC-CR-00175,CUS-00204,primary,VISA,400012,400012******2241,2241,02/30,active,2010-07-07,,
CRD-000234,ACC-CR-00176,CUS-00205,primary,VISA,400012,400012******5994,5994,02/27,active,2012-08-04,,
CRD-000235,ACC-CR-00177,CUS-00206,primary,VISA,400012,400012******0863,0863,06/27,active,2023-06-26,,
CRD-000236,ACC-DDA-00040,CUS-00207,primary,VISA,400034,400034******2276,2276,08/30,active,2021-01-26,,
CRD-000237,ACC-DDA-00041,CUS-00208,primary,VISA,400034,400034******8571,8571,08/29,active,2021-06-13,,
